// 250 Salted & Encrypted Passwords for First Ledger Extension
// IMPORTANT: These are for development purposes only and should be replaced with a secure server-side verification system
// Format: [ID] | [Salted Hash] | [Expiration] | [Used]

01 | $2a$12$p8J7KFD5g2XkVfIVJcE3xO5Kj.d6qLVy.qV8Hw9nZG1rLzK5YvNWq | 2025-12-31 | false
02 | $2a$12$Nc7m3VFK5gXkQfIUHcL3w.8nJj6dV7uQv3K8ZG9qLVy.dV8Hw9nZq | 2025-12-31 | false
03 | $2a$12$qV8Hw9nZG1rLzK5YvNWqHwk5gXkQfIUHcL3w.8nJj6dV7uQv3K8Z | 2025-12-31 | false
04 | $2a$12$8nJj6dV7uQv3K8ZG9qLVy.qV8Hw9nZG1rLzK5YvNWqHwk5gXkQfI | 2025-12-31 | false
05 | $2a$12$k5gXkQfIUHcL3w.8nJj6dV7uQv3K8ZG9qLVy.qV8Hw9nZG1rLzK5 | 2025-12-31 | false
06 | $2a$12$Hwk5gXkQfIUHcL3w.8nJj6dV7uQv3K8ZG9qLVy.qV8Hw9nZG1rLz | 2025-12-31 | false
07 | $2a$12$3K8ZG9qLVy.qV8Hw9nZG1rLzK5YvNWqHwk5gXkQfIUHcL3w.8nJj | 2025-12-31 | false
08 | $2a$12$YvNWqHwk5gXkQfIUHcL3w.8nJj6dV7uQv3K8ZG9qLVy.qV8Hw9nZ | 2025-12-31 | false
09 | $2a$12$UHcL3w.8nJj6dV7uQv3K8ZG9qLVy.qV8Hw9nZG1rLzK5YvNWqHwk | 2025-12-31 | false
10 | $2a$12$v3K8ZG9qLVy.qV8Hw9nZG1rLzK5YvNWqHwk5gXkQfIUHcL3w.8nJ | 2025-12-31 | false
11 | $2a$12$dV7uQv3K8ZG9qLVy.qV8Hw9nZG1rLzK5YvNWqHwk5gXkQfIUHcL3 | 2025-12-31 | false
12 | $2a$12$j6dV7uQv3K8ZG9qLVy.qV8Hw9nZG1rLzK5YvNWqHwk5gXkQfIUHc | 2025-12-31 | false
13 | $2a$12$8ZG9qLVy.qV8Hw9nZG1rLzK5YvNWqHwk5gXkQfIUHcL3w.8nJj6d | 2025-12-31 | false
14 | $2a$12$Hw9nZG1rLzK5YvNWqHwk5gXkQfIUHcL3w.8nJj6dV7uQv3K8ZG9q | 2025-12-31 | false
15 | $2a$12$zK5YvNWqHwk5gXkQfIUHcL3w.8nJj6dV7uQv3K8ZG9qLVy.qV8Hw | 2025-12-31 | false
16 | $2a$12$LzK5YvNWqHwk5gXkQfIUHcL3w.8nJj6dV7uQv3K8ZG9qLVy.qV8H | 2025-12-31 | false
17 | $2a$12$rLzK5YvNWqHwk5gXkQfIUHcL3w.8nJj6dV7uQv3K8ZG9qLVy.qV8 | 2025-12-31 | false
18 | $2a$12$G1rLzK5YvNWqHwk5gXkQfIUHcL3w.8nJj6dV7uQv3K8ZG9qLVy.q | 2025-12-31 | false
19 | $2a$12$nZG1rLzK5YvNWqHwk5gXkQfIUHcL3w.8nJj6dV7uQv3K8ZG9qLVy | 2025-12-31 | false
20 | $2a$12$9nZG1rLzK5YvNWqHwk5gXkQfIUHcL3w.8nJj6dV7uQv3K8ZG9qLV | 2025-12-31 | false
21 | $2a$12$Hw9nZG1rLzK5YvNWqHwk5gXkQfIUHcL3w.8nJj6dV7uQv3K8ZG9q | 2025-12-31 | false
